epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.012,2.70607,3.45549,3.43736,0.74465,0.64423,0.71416,0.31123,1.86408,1.68781,2.51323,0.00333082,0.00333082,0.00333082
2,368.072,1.65552,1.4056,2.13999,0.91894,0.79764,0.86984,0.43729,1.64113,1.10036,2.15531,0.00659817,0.00659817,0.00659817
3,541.13,1.50458,1.1056,1.93844,0.91574,0.80543,0.86288,0.39159,1.79744,1.11499,2.29501,0.00979953,0.00979953,0.00979953
4,713.887,1.42614,0.96087,1.84303,0.9119,0.86726,0.92209,0.53307,1.48685,0.82685,1.97337,0.009703,0.009703,0.009703
5,884.38,1.36233,0.8766,1.77651,0.94135,0.89916,0.94211,0.58109,1.36036,0.7412,1.83896,0.009604,0.009604,0.009604
6,1056.33,1.31638,0.81583,1.72936,0.95257,0.89212,0.94368,0.56556,1.4233,0.68827,1.89382,0.009505,0.009505,0.009505
7,1227.59,1.28817,0.77947,1.70159,0.96359,0.90617,0.95117,0.59839,1.3264,0.64343,1.78525,0.009406,0.009406,0.009406
8,1399.41,1.27322,0.75457,1.68169,0.9661,0.90619,0.94964,0.58066,1.40069,0.61849,1.84246,0.009307,0.009307,0.009307
9,1569.89,1.25982,0.73239,1.67221,0.97046,0.91557,0.95795,0.60995,1.3376,0.59089,1.80088,0.009208,0.009208,0.009208
10,1741.74,1.24374,0.71134,1.65885,0.96964,0.92877,0.96206,0.63453,1.24742,0.55679,1.71566,0.009109,0.009109,0.009109
11,1912.54,1.23118,0.69405,1.63859,0.96415,0.9273,0.96345,0.6217,1.29397,0.55496,1.75283,0.00901,0.00901,0.00901
12,2085.37,1.22132,0.68777,1.63676,0.96573,0.92525,0.95943,0.61719,1.29678,0.55418,1.75532,0.008911,0.008911,0.008911
13,2256.63,1.20875,0.67347,1.62125,0.96825,0.92978,0.96399,0.63678,1.24851,0.54853,1.70862,0.008812,0.008812,0.008812
14,2429.67,1.206,0.66186,1.61372,0.96888,0.92824,0.96402,0.63396,1.25234,0.53051,1.7059,0.008713,0.008713,0.008713
15,2601.27,1.19701,0.65496,1.60482,0.9683,0.93105,0.96664,0.64207,1.23711,0.52082,1.69464,0.008614,0.008614,0.008614
16,2773.75,1.18902,0.65217,1.59413,0.97464,0.93386,0.96747,0.65598,1.18789,0.51419,1.64708,0.008515,0.008515,0.008515
17,2944.35,1.181,0.63073,1.58607,0.96852,0.93574,0.9691,0.6542,1.20519,0.5016,1.6656,0.008416,0.008416,0.008416
18,3116.73,1.17622,0.62466,1.57902,0.96754,0.93809,0.96777,0.65391,1.20633,0.49262,1.65812,0.008317,0.008317,0.008317
19,3287.63,1.17777,0.62636,1.58254,0.9789,0.9359,0.97086,0.66247,1.20414,0.48372,1.65388,0.008218,0.008218,0.008218
20,3460.19,1.16249,0.61585,1.56883,0.97325,0.93871,0.97137,0.66766,1.18746,0.47353,1.63564,0.008119,0.008119,0.008119
